"y","d","X1","X2"
0,1,1000,45
4774,0,1000,26
23436,0,1000,25
11883,1,1005,26
4606,1,1012,50
435,1,1014,45
22478,1,1017,34
19796,1,1018,31
23433,0,1020,24
2037,1,1021,30
22375,1,1024,32
4389,0,1030,29
11913,0,1031,23
3138,1,1032,43
2832,1,1035,24
0,1,1040,42
11767,0,1042,30
20661,1,1043,37
68929,1,1050,22
12945,1,1055,35
23409,1,1056,38
610,1,1058,32
10867,1,1060,36
45822,1,1064,31
13344,1,1067,41
21118,1,1072,26
6453,1,1080,31
12453,0,1087,27
0,0,1088,27
37282,1,1094,24
7908,0,1095,30
7347,0,1099,45
2993,0,1100,42
23453,1,1100,24
636,0,1100,30
0,0,1100,29
33460,1,1100,29
31645,1,1102,32
30439,1,1104,31
21765,0,1107,28
44309,0,1109,33
20058,1,1110,23
17339,1,1117,47
0,1,1120,26
1386,0,1132,25
17653,1,1140,24
0,1,1144,48
21411,1,1148,33
42555,1,1150,39
38633,1,1152,37
8671,1,1154,33
14961,1,1155,35
18376,1,1158,25
43712,0,1164,49
0,1,1168,35
4531,1,1169,22
3700,0,1172,30
9351,1,1173,22
43243,1,1175,25
154,0,1178,28
11634,1,1180,23
17062,0,1185,22
11074,1,1186,28
978,1,1190,33
11445,1,1193,37
124612,1,1200,34
0,1,1200,37
648,0,1200,30
11286,0,1200,23
10289,1,1200,22
183,0,1200,25
76911,0,1200,38
6027,1,1200,26
4628,1,1200,24
3927,1,1200,22
6305,1,1200,25
15335,1,1200,30
17262,1,1200,41
65781,1,1200,30
7045,1,1200,36
51,1,1200,31
616,1,1200,29
33852,1,1209,44
25551,1,1211,38
4557,0,1216,33
11546,0,1218,37
13852,0,1220,36
40629,1,1223,35
16899,1,1227,24
24387,1,1232,22
18756,1,1236,43
4935,1,1240,25
3456,1,1244,27
33179,0,1248,31
542,1,1249,48
20637,1,1250,38
1803,0,1253,25
2245,0,1258,24
1239,0,1260,26
3273,1,1275,27
954,1,1277,31
9425,1,1279,22
13680,1,1280,23
3933,1,1284,42
2505,1,1290,24
16324,1,1292,24
62,1,1296,46
43006,0,1300,22
54168,1,1300,30
0,1,1300,24
14754,1,1300,31
11486,1,1300,41
3493,1,1300,24
27408,0,1302,44
23646,1,1303,28
0,0,1306,32
5916,0,1312,23
17082,0,1314,25
12506,1,1318,47
15318,1,1322,39
4450,1,1323,45
2556,1,1325,29
25729,1,1331,25
10602,1,1340,33
26997,1,1345,25
21710,1,1347,36
13381,1,1350,36
41472,1,1352,41
23027,0,1356,38
17305,0,1359,23
23028,1,1360,32
9018,1,1368,24
55173,0,1370,28
47532,1,1373,26
0,1,1375,47
21343,0,1376,22
16281,0,1380,22
0,1,1382,35
21954,0,1386,33
2175,0,1398,35
8380,0,1400,33
30896,1,1400,33
6646,1,1400,26
0,1,1400,24
0,1,1400,39
16344,0,1404,23
21304,1,1406,26
2676,1,1407,26
5615,0,1417,41
6458,1,1422,25
5439,1,1430,46
2829,0,1440,37
3843,1,1440,28
41190,1,1448,24
1725,0,1452,33
12024,1,1468,33
7385,0,1470,23
14682,1,1472,22
741,1,1477,33
18116,1,1487,29
929,0,1488,39
8034,0,1489,24
6542,0,1490,23
4281,0,1500,25
204,0,1500,29
4901,1,1500,22
35691,1,1500,22
12841,1,1500,38
1126,0,1500,24
9266,0,1500,30
26191,1,1500,22
1302,1,1500,29
34062,1,1500,34
26039,0,1500,41
31782,1,1500,23
12798,1,1500,33
55677,1,1500,22
