"y","d","X1"
13367,0,2000
25767,1,2000
18,1,2000
4980,1,2000
23500,0,2000
22959,0,2000
21091,0,2000
35350,0,2000
46623,0,2000
19808,1,2000
20534,0,2000
0,0,2000
44303,1,2000
765,0,2000
4401,1,2000
13674,1,2000
31778,1,2000
20949,1,2000
27,1,2000
13948,0,2000
6465,0,2000
26967,0,2000
5797,1,2000
4370,1,2000
10365,0,2000
43571,0,2000
8320,1,2000
2370,0,2000
38932,1,2000
29452,0,2003
199,1,2010
6689,0,2012
41994,1,2016
14548,0,2020
0,0,2025
1350,1,2026
0,1,2040
0,0,2040
14598,0,2041
66810,0,2047
31776,1,2060
43239,1,2061
312,1,2064
19007,1,2079
5314,1,2080
5826,0,2095
7551,0,2100
57312,0,2100
13859,1,2100
30386,1,2100
5366,0,2100
5085,1,2100
12138,1,2100
0,1,2107
11619,1,2112
17500,1,2114
8418,1,2120
11406,0,2128
12518,1,2130
4154,1,2131
556,1,2135
45,1,2144
260,0,2144
12375,1,2150
0,1,2157
16977,0,2160
15769,1,2160
9756,1,2164
10433,1,2165
8826,0,2173
13128,1,2178
0,1,2179
22099,1,2180
3966,0,2184
32709,1,2185
0,0,2188
344,1,2189
10515,1,2191
2198,1,2193
80166,1,2200
1293,1,2200
14536,0,2200
13629,1,2200
19739,0,2200
8977,1,2200
1292,1,2200
0,1,2200
8101,1,2200
25577,0,2200
42583,0,2200
0,1,2200
0,0,2202
11146,1,2205
33882,0,2206
31431,1,2212
0,1,2218
17469,1,2220
18270,1,2222
458,1,2223
8195,0,2224
28090,1,2232
780,0,2234
3525,1,2240
15092,1,2240
2675,1,2241
23896,1,2246
9269,1,2250
0,0,2262
34294,1,2263
9264,1,2270
23478,1,2272
7560,0,2275
26004,1,2282
19327,1,2283
19955,0,2285
12708,1,2296
5328,1,2299
9285,1,2300
11261,1,2300
12040,0,2300
14026,1,2300
18264,1,2300
11217,0,2300
2652,1,2300
13737,0,2300
4824,1,2300
8567,0,2300
11979,1,2304
2053,1,2308
39564,0,2309
5068,0,2310
5955,1,2314
30130,1,2317
4669,0,2320
22908,0,2328
0,1,2330
15348,1,2340
33328,1,2340
33640,1,2343
26535,1,2344
0,1,2349
0,1,2350
22851,1,2360
35505,1,2389
13780,0,2391
17943,0,2400
24799,1,2400
4005,1,2400
19008,1,2400
0,0,2400
33246,0,2400
21801,1,2400
6473,1,2400
3710,0,2400
16949,1,2400
9558,1,2400
14617,1,2400
33078,1,2400
7398,1,2400
44614,1,2400
10263,1,2400
2825,1,2400
11456,1,2400
21422,0,2400
14989,0,2400
22743,1,2400
32455,1,2400
0,1,2400
454,1,2400
21798,1,2400
8289,1,2400
71886,1,2400
31826,0,2400
16134,1,2400
17905,1,2409
41031,1,2411
0,0,2412
4676,1,2416
18154,1,2418
18038,1,2422
8109,1,2426
12716,0,2428
39126,1,2430
11249,1,2433
5910,0,2436
47410,0,2439
15069,0,2440
654,1,2441
14103,1,2444.656
8774,0,2444.656
15828,1,2444.656
43834,0,2444.656
48611,1,2444.656
13934,1,2444.656
18041,1,2444.656
8924,0,2444.656
13077,1,2444.656
0,0,2444.656
6612,1,2444.656
4023,1,2444.656
14476,0,2444.656
11943,0,2444.656
4872,0,2444.656
26626,1,2444.656
2556,1,2444.656
0,0,2444.656
3567,0,2444.656
8932,0,2444.656
0,1,2444.656
2844,1,2444.656
13526,1,2444.656
6065,1,2444.656
11100,0,2444.656
468,1,2444.656
20853,1,2444.656
14131,1,2444.656
35916,0,2444.656
6863,0,2444.656
243,0,2445
210,0,2448
465,0,2460
17717,0,2469
16689,1,2471
0,0,2477
8532,1,2482
13089,0,2487
395,0,2490
12432,0,2496
12301,0,2500
698,1,2500
8603,1,2500
21750,1,2500
26682,0,2500
6828,1,2500
38563,1,2500
42857,1,2500
29283,1,2500
39597,0,2500
5159,1,2500
5449,0,2500
62424,1,2500
6627,0,2500
147,1,2500
27130,0,2500
5988,0,2500
20025,1,2500
0,1,2500
36913,1,2500
3984,1,2500
3942,1,2500
1239,1,2500
7943,1,2500
24,1,2500
2232,1,2500
11442,1,2500
26898,1,2500
31218,1,2500
0,1,2500
15633,1,2505
22662,1,2508
24195,1,2512
216,1,2520
0,1,2526
6099,0,2536
20825,1,2550
11327,1,2556
0,1,2558
11961,0,2560
28179,0,2560
0,1,2560
11863,1,2571
17289,1,2574
3484,1,2577
5337,1,2580
22400,1,2584
5238,1,2592
4728,1,2600
6676,1,2600
0,0,2600
26677,0,2600
19839,1,2600
489,1,2600
27300,0,2600
56421,0,2600
21195,1,2600
27115,1,2600
28409,1,2602
44648,1,2604
7218,1,2605
41307,1,2615
36600,1,2616
7944,1,2620
9974,0,2640
8819,1,2645
33873,1,2646
1379,0,2652
39720,1,2658
1128,1,2664
12399,1,2666
8861,1,2674
7195,1,2680
38077,0,2688
1569,0,2700
52514,0,2700
8403,1,2700
7893,1,2700
4233,0,2700
30299,0,2700
19291,1,2700
0,0,2700
3177,0,2700
5564,1,2700
7038,1,2700
7185,0,2702
0,1,2710
1321,0,2712
16463,0,2714
0,1,2716
22443,0,2720
5992,1,2725
30942,1,2726
28,1,2729
1947,0,2732
38711,1,2736
24030,1,2737
51965,1,2740
17589,1,2743
10311,0,2746
1463,0,2750
24084,0,2755
23079,1,2757
5019,0,2759
1902,1,2768
1881,1,2771
5116,1,2778
0,1,2780
23279,1,2794
7872,1,2800
216,1,2800
762,1,2800
14704,0,2800
2752,0,2800
0,1,2800
8478,1,2800
25765,1,2800
7573,0,2800
22289,0,2808
7617,1,2809
37067,1,2814
10530,0,2817
8075,0,2820
29574,0,2827
814,1,2828
28186,1,2830
17559,1,2836
5140,1,2840
40275,1,2844
23727,1,2848
16281,1,2850
13026,0,2853
4947,1,2855
45968,1,2856
48795,1,2868
7785,1,2870
17555,0,2872
13981,0,2876
5304,1,2880
0,1,2882
4447,1,2888
0,1,2897
18374,1,2900
1887,1,2900
9695,0,2900
8157,0,2900
1100,1,2900
26442,1,2900
21166,0,2900
9017,1,2904
16650,1,2912
33494,1,2921
8231,1,2927
41889,1,2936
19859,1,2937
0,1,2938
3765,0,2948
26964,1,2958
10464,1,2971
22524,0,2974
0,0,2976
6590,1,2977
30762,1,2980
14106,0,2988
8393,0,2992
37122,0,3000
4968,1,3000
59739,1,3000
7579,1,3000
30678,1,3000
12481,1,3000
4851,1,3000
0,0,3000
0,0,3000
69682,1,3000
1287,1,3000
25116,1,3000
26358,1,3000
0,1,3000
3075,1,3000
10231,1,3000
24203,1,3000
0,1,3000
1035,1,3000
35778,0,3000
22890,1,3000
41779,1,3000
36061,0,3000
3234,1,3000
0,0,3000
26703,1,3000
4980,0,3000
162,0,3000
12789,1,3000
45265,1,3000
8764,1,3004
2253,0,3005
27822,1,3010
8541,1,3033
10632,0,3040
115,1,3050
10257,0,3056
36967,1,3060
8941,1,3069
84873,1,3077
480,0,3089
24349,1,3096
6083,1,3100
0,1,3100
858,1,3100
6186,0,3100
1458,0,3107
7377,0,3115
35656,0,3118
4215,1,3120
98153,0,3120
6822,1,3129
2949,1,3131
3155,1,3132
26630,0,3146
59849,0,3147
10515,1,3150
4386,1,3157
3477,0,3159
8820,0,3160
16074,1,3162
17043,1,3172
11748,1,3178
6558,1,3185
62451,0,3194
22734,1,3198
24344,1,3200
3375,1,3200
18828,0,3200
435,1,3200
24938,1,3200
16464,1,3200
4378,1,3200
0,1,3200
7805,0,3200
0,1,3200
12534,1,3200
3489,0,3200
13060,0,3200
1011,1,3200
24390,1,3200
37797,1,3200
17127,1,3204
11619,0,3216
0,1,3220
13816,1,3227
1368,0,3228
12991,0,3234
7898,1,3235
3775,0,3240
0,1,3242
13164,0,3250
20997,0,3257
1113,1,3259
6665,1,3268
176,0,3284
57,0,3287
32276,1,3288
15223,1,3289
31991,1,3290
34377,1,3296
49046,1,3299
20664,0,3300
11175,1,3300
14680,1,3300
22298,0,3300
3297,0,3300
6681,1,3300
4701,1,3300
2343,1,3301
40517,1,3306
11533,1,3308
0,0,3309
2994,1,3319
68877,1,3326
37788,1,3329
24206,1,3338
12255,0,3340
2564,1,3341
16743,1,3342
28210,0,3350
5966,1,3352
32184,1,3353
670,1,3359
1538,0,3360
6930,1,3360
352,1,3360
13398,1,3360
5081,1,3360
10411,1,3362
20178,0,3366
31022,0,3380
48111,0,3382
15763,0,3385
0,1,3387
3048,1,3393
4473,0,3400
4680,0,3400
0,1,3400
510,1,3400
30188,1,3400
24765,0,3412
15884,1,3432
33159,1,3435
9206,0,3438
26877,0,3440
9797,0,3442
390,1,3444
12850,1,3451
1533,1,3456
14847,1,3457
6873,0,3460
30198,1,3462
27056,1,3464
26906,1,3472
17915,0,3474
12076,1,3480
3639,1,3484
12964,0,3486
10083,1,3492
6984,1,3497
37644,0,3500
10099,1,3500
1491,1,3500
9651,1,3500
2107,1,3500
13130,0,3500
104,1,3500
35784,0,3500
9330,1,3500
1522,0,3500
8526,0,3500
25669,0,3500
19263,1,3500
9591,1,3500
28872,1,3500
0,1,3500
6241,1,3500
11521,1,3500
1163,1,3500
31831,1,3500
16224,0,3500
1799,1,3500
16336,0,3500
26460,1,3500
30997,0,3500
41598,1,3500
16965,1,3500
16934,0,3500
9113,1,3500
7487,1,3500
699,0,3513
8022,1,3515
30073,1,3520
20771,1,3538
3693,1,3541
53439,1,3542
18869,1,3552
13506,1,3560
17382,1,3570
7218,1,3575
46443,1,3588
4984,1,3591
35986,1,3593
15257,0,3596
38036,0,3600
22047,1,3600
0,1,3600
7155,1,3600
8502,1,3600
1054,1,3600
18261,0,3600
26020,1,3600
0,1,3600
21924,0,3600
0,1,3600
42275,1,3600
12356,1,3602
7992,1,3621
43078,0,3625
18121,1,3628
693,1,3629
19091,1,3630
4005,1,3635
42174,1,3640
0,1,3640
0,1,3640
107,1,3650
30618,0,3660
16800,1,3666
14388,1,3668
8730,1,3674
19651,1,3677
24237,1,3680
34841,1,3690
28749,1,3692
27781,1,3693
1477,1,3696
11169,1,3700
27240,0,3700
19431,1,3700
16313,0,3703
6726,1,3707
23329,1,3710
34739,1,3711
108,0,3720
13072,0,3740
11612,0,3744
30298,1,3750
31590,0,3752
16288,1,3780
0,1,3792
28635,1,3793
15289,0,3797
1494,0,3800
27448,1,3800
0,1,3800
468,1,3800
17280,1,3800
3822,0,3800
1427,0,3800
12412,1,3804
13853,0,3805
0,1,3815
7056,0,3824
38713,0,3825
